name,state,city,monthlyIncome,internetUsed,dataPackExpense,foodFuelExpensePercent,hasLoan,familyMembers,childrenCount,childrenStatus,cookingTogether,lpgRefillFrequency,earningMembers,dependentMembers,jobType,emergencyFundSource,facedEmergency,assets,hasLand,ownsVehicle,incomeCycle,savings,awareOfGovtScheme,pastLoanDefault,lpgPreference,lpgChallenges,cylinderPreference,score,risk_category
Person 83,Uttar Pradesh,Kanpur,18257,no,200,51-75%,no,3,1,working,yes,5-6 months,1,1,cleaner,family,no,land,no,no,weekly,1000,yes,no,LPG,cost,5kg,723.0769230769231,Low Risk
Person 52,Uttar Pradesh,Bareilly,18270,no,100,<25%,yes,3,1,study,yes,5-6 months,3,0,daily-wager,family,yes,none,no,no,weekly,200,yes,yes,LPG,cost,14kg,376.92307692307696,High Risk
Person_9611,Rajasthan,Bhilwara,12094,no,30,76-100%,no,2,1,study,yes,<1 month,1,1,daily-wager,savings,yes,none,yes,yes,monthly,3926,no,yes,LPG,distance,14.2kg,376.92307692307696,High Risk
Person_1665,Rajasthan,Alwar,7528,yes,42,26-50%,no,4,1,not study,no,1-2 months,1,3,self-employed,friends,yes,mobile,no,yes,weekly,1053,yes,no,LPG,cost,5kg,584.6153846153845,Medium Risk
Person_9388,Bihar,Gaya,3525,no,147,0-25%,yes,5,2,study,no,1-2 months,1,4,unemployed,money-lender,no,tv,yes,yes,monthly,353,no,no,LPG,none,5kg,446.1538461538462,Medium Risk
Person 55,Uttar Pradesh,Kanpur,10145,no,200,51-75%,yes,3,0,working,yes,1-2 months,1,2,cleaner,savings,yes,land,no,yes,monthly,200,yes,yes,LPG,none,5kg,238.46153846153848,High Risk
Person_8139,Rajasthan,Sikar,5295,no,88,26-50%,yes,7,2,study,yes,<1 month,2,5,farmer,savings,no,tv,yes,yes,monthly,287,yes,no,LPG,cost,5kg,515.3846153846155,Medium Risk
Person 90,Maharashtra,Pune,4012,yes,50,>75%,yes,3,1,working,yes,1-2 months,3,1,vendor,savings,no,vehicle,yes,yes,weekly,200,yes,no,LPG,cost,5kg,723.0769230769231,Low Risk
Person_9599,Rajasthan,Alwar,8007,yes,135,26-50%,yes,6,4,study,no,>2 months,5,1,daily-wager,family,no,tv,yes,yes,monthly,1859,yes,no,LPG,none,14.2kg,792.3076923076924,Low Risk
Person 74,Uttar Pradesh,Gorakhpur,8832,no,200,<25%,no,4,1,working,yes,5-6 months,2,3,cleaner,savings,no,vehicle,no,yes,monthly,1000,yes,no,LPG,cost,14kg,723.0769230769231,Low Risk
